64664,1,EBS_ValidateCustomerDetails,6/03/2019 03:09:22 AM,0,Passed,6/03/2019 03:08:17 AM,basic.step,,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,946,Passed,"",basic.init,
"Iteration Total (sec)",,56532,Passed,"",basic.iteration,
"Call Function: Browser_Functions.Launch",,10506,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 11.0.9600.19301",,3015,Passed,"",basic.step,
"Navigate https://ebsqa.beachbody.local:4463/",23,267,Passed,"",ft.action,
"WaitForPage",24,485,Passed,"",web.pageComplete,
"Call Function: Browser_Functions.Login",,10595,Passed,"",basic.stepGroup,
"Click textBox(""@id='usernameField'"")",,1180,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") VNALLANI",,54,Passed,"",ft.action,
"PressTab textBox(""@id='usernameField'"")",,99,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,57,Passed,"",ft.action,
"Click button(""@value='Login'"")",,101,Passed,"",ft.action,
"WaitForPage",,8879,Passed,"",web.pageComplete,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: Browser_Functions.SelectMenu",,4748,Passed,"",basic.stepGroup,
"Click link(""@text='US CS ADMIN'"")",,111,Passed,"",ft.action,
"Think: 0 (sec).",,13,Passed,"",basic.comment,
"Click link(""@text='Customer Service Portal'"")",,121,Passed,"",ft.action,
"WaitForPage",,4398,Passed,"",web.pageComplete,
"Think: 0 (sec).",,8,Passed,"",basic.comment,
"Call Function: Forms_Functions.CustomerSearch",,23465,Passed,"",basic.stepGroup,
"SelectItem tab(""@name='FIND_TAB_CANVAS'"") Customer",,15038,Passed,"",ft.action,
"SetText textField(""@name='XXDAZ_FIND_CUSTOMER_V_EMAIL_0'"") testing_vvv@yopmail.com",45,1450,Passed,"",ft.action,
"Click button(""@name='XXDAZ_FIND_CUSTOMER_V_FIND_CUST_0'"")",,2669,Passed,"",ft.action,
"Think: 0 (sec).",,9,Passed,"",basic.comment,
"Click button(""@name='XXDAZ_FIND_CUSTOMER_LIST_OPEN_0'"")",,3587,Passed,"",ft.action,
"Think: 0 (sec).",,9,Passed,"",basic.comment,
"Call Function: Forms_Functions.ValidateCustomerDetails",,7133,Passed,"",basic.stepGroup,
"Reported Pass",,1,Passed,"Comments: First Name TESTING validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Network CLUB validated",basic.comment,
"SelectItem tab(""@name='TABCANVAS'"") Entitlements",,1810,Passed,"",ft.action,
"Reported Pass",,0,Passed,"Comments: First Name TESTING validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: City SANTA MONICA validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Zip 90404 validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: State CA validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Country US validated",basic.comment,
"Reported Pass",,0,Passed,"Comments: Phone +14695552221 validated",basic.comment,
"Finish Total (sec)",,6794,Passed,"",basic.finish,
